Industry,1. Current Ratio,Wt,Strong,Steady,Shaky,2. Quick Ratio,Wt,Strong,Steady,Shaky,3. Debt-to-Equity,Wt,Strong,Steady,Shaky,4. Asset Turnover,Wt,Strong,Steady,Shaky,5. ROE,Wt,Strong,Steady,Shaky,6. ROA,Wt,Strong,Steady,Shaky,7. Gross Margin,Wt,Strong,Steady,Shaky,8. Net Margin,Wt,Strong,Steady,Shaky,9. Interest Coverage,Wt,Strong,Steady,Shaky,10. Receivables Days,Wt,Strong,Steady,Shaky,11. Operating CF Margin,Wt,Strong,Steady,Shaky,12. CF Coverage,Wt,Strong,Steady,Shaky,13. CF to Debt,Wt,Strong,Steady,Shaky,14. Capex Coverage,Wt,Strong,Steady,Shaky,15. Payable Days,Wt,Strong,Steady,Shaky,16. Working Capital Days,Wt,Strong,Steady,Shaky,Total
Others - Services,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,4%,4%,3%,1%,>2.2x/1.6-2.2x/<1.6x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,8%,8%,5%,2%,>35%/25-35%/<25%,16%,16%,10%,4%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<35/35-55/>55 days,8%,8%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>25/20-25/<20 days,3%,3%,2%,1%,<35/35-55/>55 days,6%,6%,4%,2%,100%
Software & SaaS,>1.8/1.2-1.8/<1.2,4%,4%,3%,1%,>1.2/0.8-1.2/<0.8,4%,4%,3%,1%,<0.4/0.4-0.8/>0.8,4%,4%,3%,1%,>1.5x/1.0-1.5x/<1.0x,8%,8%,5%,2%,>20%/12-20%/<12%,13%,13%,8%,3%,>10%/5-10%/<5%,7%,7%,5%,2%,>70%/60-70%/<60%,17%,17%,11%,4%,>8%/4-8%/<4%,10%,10%,7%,3%,>6x/3-6x/<3x,3%,3%,2%,1%,<30/30-50/>50 days,7%,7%,5%,2%,>15%/8-15%/<8%,10%,10%,7%,3%,>1.5x/1.0-1.5x/<1.0x,3%,3%,2%,1%,>0.4x/0.2-0.4x/<0.2x,1%,1%,1%,0%,>2.0x/1.2-2.0x/<1.2x,1%,1%,1%,0%,>35/25-35/<25 days,2%,2%,1%,1%,<30/30-45/>45 days,6%,6%,4%,2%,100%
Hardware & Semiconductors,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>1.0x/0.7-1.0x/<0.7x,8%,8%,5%,2%,>20%/12-20%/<12%,10%,10%,7%,3%,>10%/5-10%/<5%,6%,6%,4%,2%,>40%/30-40%/<30%,12%,12%,8%,3%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<35/35-60/>60 days,7%,7%,5%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>40/30-40/<30 days,4%,4%,3%,1%,<40/40-65/>65 days,6%,6%,4%,2%,100%
Telecommunications,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>0.8x/0.5-0.8x/<0.5x,9%,9%,6%,2%,>20%/12-20%/<12%,10%,10%,7%,3%,>10%/5-10%/<5%,6%,6%,4%,2%,>50%/40-50%/<40%,12%,12%,8%,3%,>8%/4-8%/<4%,9%,9%,6%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<40/40-70/>70 days,7%,7%,5%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>35/25-35/<25 days,3%,3%,2%,1%,<45/45-70/>70 days,6%,6%,4%,2%,100%
Internet & E-commerce,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,4%,4%,3%,1%,>2.0x/1.5-2.0x/<1.5x,11%,11%,7%,3%,>20%/12-20%/<12%,10%,10%,7%,3%,>10%/5-10%/<5%,7%,7%,5%,2%,>45%/35-45%/<35%,12%,12%,8%,3%,>8%/4-8%/<4%,9%,9%,6%,2%,>6x/3-6x/<3x,3%,3%,2%,1%,<20/20-35/>35 days,8%,8%,5%,2%,>15%/8-15%/<8%,10%,10%,7%,3%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,1%,1%,1%,0%,>30/20-30/<20 days,3%,3%,2%,1%,<25/25-40/>40 days,6%,6%,4%,2%,100%
Others - Technology,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>1.3x/0.9-1.3x/<0.9x,10%,10%,7%,3%,>20%/12-20%/<12%,11%,11%,7%,3%,>10%/5-10%/<5%,6%,6%,4%,2%,>50%/40-50%/<40%,12%,12%,8%,3%,>8%/4-8%/<4%,10%,10%,7%,3%,>6x/3-6x/<3x,4%,4%,3%,1%,<35/35-55/>55 days,7%,7%,5%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,3%,3%,2%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,1%,1%,1%,0%,>30/25-30/<25 days,3%,3%,2%,1%,<35/35-55/>55 days,6%,6%,4%,2%,100%
Pharmaceuticals,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>0.7x/0.5-0.7x/<0.5x,7%,7%,5%,2%,>20%/12-20%/<12%,10%,10%,7%,3%,>10%/5-10%/<5%,8%,8%,5%,2%,>65%/55-65%/<55%,17%,17%,11%,4%,>8%/4-8%/<4%,9%,9%,6%,2%,>6x/3-6x/<3x,3%,3%,2%,1%,<40/40-70/>70 days,6%,6%,4%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>50/35-50/<35 days,3%,3%,2%,1%,<45/45-75/>75 days,5%,5%,3%,1%,100%
Medical Devices,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>1.0x/0.7-1.0x/<0.7x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>50%/40-50%/<40%,15%,15%,10%,4%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<35/35-60/>60 days,6%,6%,4%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>40/30-40/<30 days,4%,4%,3%,1%,<40/40-65/>65 days,6%,6%,4%,2%,100%
Healthcare Services,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>1.5x/1.0-1.5x/<1.0x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>35%/25-35%/<25%,14%,14%,9%,4%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<30/30-50/>50 days,8%,8%,5%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>25/20-25/<20 days,3%,3%,2%,1%,<35/35-55/>55 days,6%,6%,4%,2%,100%
Diagnostic Services,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>1.2x/0.8-1.2x/<0.8x,9%,9%,6%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>40%/30-40%/<30%,13%,13%,8%,3%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<25/25-40/>40 days,8%,8%,5%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>20/15-20/<15 days,3%,3%,2%,1%,<30/30-45/>45 days,6%,6%,4%,2%,100%
Others - Healthcare,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>1.1x/0.8-1.1x/<0.8x,9%,9%,6%,2%,>20%/12-20%/<12%,9%,9%,6%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>45%/35-45%/<35%,14%,14%,9%,4%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<35/35-55/>55 days,7%,7%,5%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>30/25-30/<25 days,3%,3%,2%,1%,<40/40-60/>60 days,6%,6%,4%,2%,100%
K-12 Schools,>1.8/1.2-1.8/<1.2,8%,8%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>0.8x/0.6-0.8x/<0.6x,7%,7%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,8%,8%,5%,2%,>40%/30-40%/<30%,14%,14%,9%,4%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<10/10-20/>20 days,7%,7%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>20/15-20/<15 days,3%,3%,2%,1%,<15/15-25/>25 days,6%,6%,4%,2%,100%
Higher Education,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>0.6x/0.4-0.6x/<0.4x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,8%,8%,5%,2%,>50%/40-50%/<40%,14%,14%,9%,4%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<15/15-30/>30 days,7%,7%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>25/20-25/<20 days,3%,3%,2%,1%,<20/20-35/>35 days,6%,6%,4%,2%,100%
Online Education,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,4%,4%,3%,1%,>2.0x/1.5-2.0x/<1.5x,10%,10%,7%,3%,>20%/12-20%/<12%,11%,11%,7%,3%,>10%/5-10%/<5%,10%,10%,7%,3%,>60%/50-60%/<50%,16%,16%,10%,4%,>8%/4-8%/<4%,9%,9%,6%,2%,>6x/3-6x/<3x,3%,3%,2%,1%,<5/5-15/>15 days,6%,6%,4%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,3%,3%,2%,1%,>0.4x/0.2-0.4x/<0.2x,1%,1%,1%,0%,>2.0x/1.2-2.0x/<1.2x,1%,1%,1%,0%,>15/10-15/<10 days,2%,2%,1%,1%,<10/10-20/>20 days,5%,5%,3%,1%,100%
Vocational Training,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>1.0x/0.7-1.0x/<0.7x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,8%,8%,5%,2%,>45%/35-45%/<35%,14%,14%,9%,4%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<20/20-35/>35 days,7%,7%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>20/15-20/<15 days,3%,3%,2%,1%,<25/25-40/>40 days,6%,6%,4%,2%,100%
Coaching & Test Prep,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,4%,4%,3%,1%,>1.5x/1.0-1.5x/<1.0x,9%,9%,6%,2%,>20%/12-20%/<12%,11%,11%,7%,3%,>10%/5-10%/<5%,10%,10%,7%,3%,>55%/45-55%/<45%,16%,16%,10%,4%,>8%/4-8%/<4%,9%,9%,6%,2%,>6x/3-6x/<3x,3%,3%,2%,1%,<15/15-30/>30 days,6%,6%,4%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,3%,3%,2%,1%,>0.4x/0.2-0.4x/<0.2x,1%,1%,1%,0%,>2.0x/1.2-2.0x/<1.2x,1%,1%,1%,0%,>15/10-15/<10 days,2%,2%,1%,1%,<20/20-35/>35 days,5%,5%,3%,1%,100%
Others - Education,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>1.0x/0.7-1.0x/<0.7x,8%,8%,5%,2%,>20%/12-20%/<12%,9%,9%,6%,2%,>10%/5-10%/<5%,9%,9%,6%,2%,>50%/40-50%/<40%,15%,15%,10%,4%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<15/15-25/>25 days,6%,6%,4%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>20/15-20/<15 days,3%,3%,2%,1%,<20/20-30/>30 days,6%,6%,4%,2%,100%
Road Transportation,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,8%,8%,5%,2%,>1.2x/0.8-1.2x/<0.8x,9%,9%,6%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>25%/18-25%/<18%,12%,12%,8%,3%,>8%/4-8%/<4%,6%,6%,4%,2%,>6x/3-6x/<3x,7%,7%,5%,2%,<30/30-50/>50 days,7%,7%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>25/20-25/<20 days,3%,3%,2%,1%,<35/35-55/>55 days,6%,6%,4%,2%,100%
Logistics & Warehousing,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>1.5x/1.0-1.5x/<1.0x,10%,10%,7%,3%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>20%/15-20%/<15%,12%,12%,8%,3%,>8%/4-8%/<4%,6%,6%,4%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<25/25-40/>40 days,8%,8%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>30/25-30/<25 days,4%,4%,3%,1%,<30/30-45/>45 days,7%,7%,5%,2%,100%
Courier & Delivery,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>2.0x/1.5-2.0x/<1.5x,11%,11%,7%,3%,>20%/12-20%/<12%,9%,9%,6%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>30%/22-30%/<22%,14%,14%,9%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<15/15-25/>25 days,7%,7%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>20/15-20/<15 days,3%,3%,2%,1%,<20/20-30/>30 days,6%,6%,4%,2%,100%
Others - Transportation,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>1.4x/1.0-1.4x/<1.0x,10%,10%,7%,3%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>25%/18-25%/<18%,13%,13%,8%,3%,>8%/4-8%/<4%,6%,6%,4%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<25/25-40/>40 days,7%,7%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>25/20-25/<20 days,3%,3%,2%,1%,<30/30-45/>45 days,6%,6%,4%,2%,100%
Residential Construction,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,8%,8%,5%,2%,>1.0x/0.7-1.0x/<0.7x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>20%/15-20%/<15%,13%,13%,8%,3%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<60/60-90/>90 days,7%,7%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>40/30-40/<30 days,4%,4%,3%,1%,<70/70-100/>100 days,6%,6%,4%,2%,100%
Commercial Construction,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,8%,8%,5%,2%,>1.2x/0.8-1.2x/<0.8x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>18%/12-18%/<12%,13%,13%,8%,3%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<75/75-120/>120 days,7%,7%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>45/35-45/<35 days,4%,4%,3%,1%,<80/80-120/>120 days,6%,6%,4%,2%,100%
Real Estate Development,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,10%,10%,7%,3%,>0.5x/0.3-0.5x/<0.3x,8%,8%,5%,2%,>20%/12-20%/<12%,9%,9%,6%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>25%/18-25%/<18%,15%,15%,10%,4%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,3%,3%,2%,1%,<90/90-150/>150 days,6%,6%,4%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,3%,3%,2%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>30/20-30/<20 days,3%,3%,2%,1%,<120/120-180/>180 days,5%,5%,3%,1%,100%
Others - Construction,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,9%,9%,6%,2%,>0.9x/0.6-0.9x/<0.6x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>21%/15-21%/<15%,13%,13%,8%,3%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<70/70-105/>105 days,7%,7%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>40/30-40/<30 days,4%,4%,3%,1%,<80/80-120/>120 days,6%,6%,4%,2%,100%
Oil & Gas,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,4%,4%,3%,1%,<0.4/0.4-0.8/>0.8,9%,9%,6%,2%,>0.8x/0.5-0.8x/<0.5x,9%,9%,6%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>30%/20-30%/<20%,14%,14%,9%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,7%,7%,5%,2%,<45/45-75/>75 days,5%,5%,3%,1%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>60/45-60/<45 days,3%,3%,2%,1%,<50/50-80/>80 days,5%,5%,3%,1%,100%
Renewable Energy,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,4%,4%,3%,1%,<0.4/0.4-0.8/>0.8,9%,9%,6%,2%,>0.6x/0.4-0.6x/<0.4x,9%,9%,6%,2%,>20%/12-20%/<12%,9%,9%,6%,2%,>10%/5-10%/<5%,8%,8%,5%,2%,>40%/30-40%/<30%,14%,14%,9%,4%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<30/30-50/>50 days,5%,5%,3%,1%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>45/30-45/<30 days,3%,3%,2%,1%,<35/35-55/>55 days,5%,5%,3%,1%,100%
Electric Utilities,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,4%,4%,3%,1%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>0.5x/0.3-0.5x/<0.3x,8%,8%,5%,2%,>20%/12-20%/<12%,9%,9%,6%,2%,>10%/5-10%/<5%,8%,8%,5%,2%,>35%/25-35%/<25%,15%,15%,10%,4%,>8%/4-8%/<4%,9%,9%,6%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<60/60-90/>90 days,5%,5%,3%,1%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,3%,3%,2%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>30/25-30/<25 days,3%,3%,2%,1%,<70/70-100/>100 days,5%,5%,3%,1%,100%
Water & Waste Management,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,4%,4%,3%,1%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>0.7x/0.5-0.7x/<0.5x,9%,9%,6%,2%,>20%/12-20%/<12%,9%,9%,6%,2%,>10%/5-10%/<5%,8%,8%,5%,2%,>35%/25-35%/<25%,14%,14%,9%,4%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<45/45-75/>75 days,5%,5%,3%,1%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>35/25-35/<25 days,3%,3%,2%,1%,<50/50-80/>80 days,5%,5%,3%,1%,100%
